,Unnamed: 0,dates,stationid,temperature,humidity,pressure,rain,lightavg,lightmax,moisture
0,0,08-07-2018,t10,10.058057134160862,10.126707546272701,11.761302933046082,5.01912568306011,5.003643986391253,5.232785131702099,5.0
1,1,09-07-2018,t10,10.296180017839454,10.229453617246792,11.95590048061848,9.991803278688526,5.007847689092204,5.232785131702099,5.39851
2,2,10-07-2018,t10,9.959898806428779,10.463588195132271,12.0,6.848816029143898,5.005809971902215,5.232785131702099,5.4105605
3,3,11-07-2018,t10,9.778900689482192,10.714265871298693,11.840315500427133,7.728597449908925,5.005854097264698,5.232785131702099,5.422611
4,4,12-07-2018,t10,9.597902572535602,10.709947121492352,10.443450967960633,5.72040072859745,5.181949673367731,5.277309800775504,7.186695
5,5,13-07-2018,t10,8.657076668785042,11.596979012072625,7.208270821053006,5.962659380692168,5.403992207623782,12.0,9.3553475
6,6,15-07-2018,t10,9.406044371295483,11.62084646214042,7.153164372615805,5.108378870673953,5.089377048032747,5.232785131702099,11.524000000000001
7,7,18-07-2018,t10,8.850105378656254,11.879235275702278,5.999171634059529,5.08287795992714,5.437204758425329,5.232785131702099,5.403844
8,8,19-07-2018,t10,9.934663824002847,10.782704486178826,10.118392651714249,5.012750455373406,6.436614006709458,5.539644337478272,5.300279
9,9,20-07-2018,t10,9.509917148468123,11.007680151808009,7.631200247255774,5.318761384335155,6.379660288280212,5.43187591924054,5.253078
10,10,22-07-2018,t10,9.085170472933395,11.923070265696069,7.6526152298828425,6.721311475409836,9.746256629795488,12.0,5.282058
11,11,23-07-2018,t10,9.21478128820769,11.816223412496168,7.667954179689632,6.587431693989071,5.898900683131976,5.566385880465303,5.26824
12,12,24-07-2018,t10,8.82701413675693,11.923070265696069,5.562439574839786,6.453551912568306,5.550830879534419,5.232785131702099,5.213045
13,13,26-07-2018,t10,8.668561462741234,11.923070265696069,7.5612746481724304,6.345173041894354,5.390832977713389,5.232785131702099,5.213395
14,14,27-07-2018,t10,8.795209839036275,11.923070265696069,7.51310912017351,7.317395264116575,5.569501804497328,5.232785131702099,5.218596
15,15,28-07-2018,t10,8.557557131577477,11.923070265696069,7.550569710203978,8.289617486338798,5.6258004666820245,5.232785131702099,5.223797
16,16,29-07-2018,t10,9.4655430347456,11.79500576438773,7.588030300234463,5.0,6.204234940655978,5.438160181842492,5.142485
17,17,30-07-2018,t10,9.749654413432854,11.271304461176662,7.476571216208915,5.0,6.223312865771641,5.246958149485225,5.126
18,18,31-07-2018,t10,9.380210982771633,11.920780537631996,7.366274755313435,5.682149362477231,5.9787618251026045,5.366760262067121,5.120001
19,19,01-08-2018,t10,9.209033959311203,11.889727636686509,7.525911592444691,6.128415300546449,6.013084069141736,5.412889423719749,5.083405
20,20,02-08-2018,t10,8.259961888013512,11.923070265696069,7.59046309648466,5.0063752276867035,5.0,5.232785131702099,5.07
21,21,05-08-2018,t10,8.365843599943448,11.923070265696069,7.63223938133249,7.314207650273223,5.114577201557207,5.232785131702099,5.073556
22,22,06-08-2018,t10,8.27617145978678,11.923070265696069,7.535199423889307,7.199453551912568,5.232610558570773,5.232785131702099,5.07
23,23,07-08-2018,t10,8.651266868922292,11.923070265696069,7.799739128601068,6.9316939890710385,5.362795417621805,5.232785131702099,5.07
24,24,08-08-2018,t10,9.0263622780578,11.923070265696069,8.013150806019093,6.249544626593806,6.823721571499324,12.0,5.07
25,25,09-08-2018,t10,9.402463798544755,11.919995213260977,8.43197290583849,5.777777777777778,5.403992207623782,12.0,5.081585
26,26,10-08-2018,t10,9.208498024179551,11.923070265696069,8.123033160765747,5.306010928961749,7.574290277097528,6.042652761064313,5.14
27,27,11-08-2018,t10,9.07909270550482,11.923070265696069,7.469390126584184,5.216757741347905,7.829470627306957,12.0,5.14
28,28,12-08-2018,t10,8.949687386830087,11.923070265696069,7.51545242038882,8.799635701275045,6.7981330352798555,6.268351383874849,5.123683
29,29,13-08-2018,t10,8.59879454520432,11.923070265696069,7.561514714193406,10.112932604735883,8.02276032006997,12.0,5.070532
30,30,14-08-2018,t10,9.239250179310462,11.923070265696069,7.60757700799806,5.0,8.079193345971056,6.498328653563311,5.096187
31,31,15-08-2018,t10,9.650835208636586,11.922302036821563,7.903268451272439,5.0,8.785066637105892,6.61639256585105,5.699496
32,32,17-08-2018,t10,9.06288806564994,11.923070265696069,7.923894289567261,5.108378870673953,6.541016270702114,5.683781254178366,6.559278
33,33,18-08-2018,t10,8.920023541690446,11.923070265696069,7.944520127862099,11.152094717668488,5.403992207623782,12.0,6.5789480000000005
34,34,20-08-2018,t10,9.477892558392739,11.923070265696069,7.965145966156939,7.103825136612022,9.749942422648793,12.0,6.566124
35,35,21-08-2018,t10,8.6767451593221,11.923070265696069,7.985771804451796,6.25591985428051,10.348668600478188,12.0,6.639085
36,36,22-08-2018,t10,9.239197572180974,11.923070265696069,8.006397642746634,7.193078324225866,7.471081451775158,6.255515443241075,6.6992780000000005
37,37,23-08-2018,t10,8.89806664102069,11.923070265696069,8.027023481041473,8.308743169398907,6.266274537764349,5.740874448455676,6.708
38,38,25-08-2018,t10,8.946350122053238,11.923070265696069,8.04764931933633,6.7850637522768675,5.648646803760628,5.174488567990373,6.641682
39,39,26-08-2018,t10,9.170104683490614,11.923070265696069,8.068275157631168,6.683060109289618,5.403992207623782,6.769621607166734,6.669346
40,40,27-08-2018,t10,9.733707877307022,11.897306283983976,8.088900995926007,5.0,10.00577723281409,12.0,6.621417
41,41,28-08-2018,t10,9.783530116877072,11.91629831214026,8.109526834220866,5.108378870673953,8.632275944078078,6.5982083166198695,6.557255
42,42,29-08-2018,t10,9.33029339277939,11.923070265696069,8.130152672515703,5.184881602914389,7.685949241844023,6.816954138253777,6.507233
43,43,30-08-2018,t10,9.198062084867512,11.923070265696069,8.15077851081056,6.549180327868853,7.592645169058867,6.18117395373713,6.522381
44,44,02-09-2018,t10,8.545871772940114,11.923070265696069,8.1714043491054,6.797814207650273,6.884582570900168,6.374381601818425,6.713985
45,45,03-09-2018,t10,8.78652637472528,11.923070265696069,8.168894333509815,5.08287795992714,6.884582570900168,6.374381601818425,6.674211
46,46,04-09-2018,t10,9.099252743908025,11.923070265696069,8.28470338907617,8.091985428051002,6.884582570900168,6.374381601818425,6.648073
47,47,05-09-2018,t10,9.190512961786087,11.923070265696069,8.161117308616356,5.038251366120218,5.403992207623782,12.0,6.658209
